ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
71,Ethiopia,1943,Ethiopia,584,30 kg,2021 / 2022,"August 23rd, 2022",Washed / Wet,7.92,7.83,7.75,7.92,7.58,10.9,7.67,7.83,84.5,0,9
72,Taiwan,400,玉里鎮Yuli Township,1,20 kg,2021 / 2022,"December 12th, 2022",Natural / Dry,8.08,7.92,7.75,7.83,7.5,10.2,7.58,7.83,84.5,0,0
73,Taiwan,850,Yunlin,1,100 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.83,8,7.5,7.75,7.75,10.1,7.75,7.83,84.42,0,1
74,Guatemala,1300-1400,Huehuetenango,600,30 kg,2022 / 2023,"April 26th, 2023",Washed / Wet,7.67,7.83,7.75,7.75,7.83,9.2,7.75,7.75,84.33,0,5
75,United States (Hawaii),1300,Ka'u district of Big Island,10,10 kg,2022,"November 9th, 2022",Washed / Wet,7.92,7.83,7.75,7.92,7.5,10.1,7.67,7.75,84.33,3,7
76,Ethiopia,2361,Addis Ababa,320,60 kg,2021 / 2022,"September 19th, 2022",Natural / Dry,7.83,7.75,7.58,7.92,8,11,7.5,7.75,84.33,0,4
77,El Salvador,1500,Chalatenango,20,30 kg,2021,"November 15th, 2022",Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,10.3,7.67,7.67,84.33,0,4
78,Colombia,2100,Sierra Nevada de Santa Marta,275,70 kg,2021 / 2022,"May 11th, 2022",Washed / Wet,7.75,7.75,7.75,7.75,7.83,11.6,7.67,7.83,84.33,0,1
79,Indonesia,1250-1350,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,2022,"September 21st, 2022",Wet Hulling,7.67,7.67,7.83,7.83,7.67,11.5,7.75,7.83,84.25,0,1
80,Guatemala,1600,Atitlán,55,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.58,7.92,7.67,7.75,7.83,10,7.75,7.75,84.25,0,1
81,Madagascar,1500,Itasy,5,60 kg,2022,"December 12th, 2022",Washed / Wet,7.92,7.92,7.58,7.75,7.58,12.1,7.67,7.83,84.25,0,0
82,Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",345,30 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.75,7.75,7.58,7.83,7.75,10.2,7.75,7.75,84.17,0,2
83,Guatemala,1600,quiche,275,69 kg,2021 / 2022,"May 19th, 2022",Washed / Wet,7.58,7.92,7.58,7.83,7.75,11,7.67,7.75,84.08,0,2
84,Taiwan,150,新北市,1,110 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,10.8,7.67,7.67,84.08,0,2
85,Taiwan,800,Yunlin,1,80 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.92,7.75,7.67,7.75,7.75,10.6,8,7.92,84.08,0,0
86,Guatemala,1500-1600,Oriente Santa rosa,430,30 kg,2022 / 2023,"March 22nd, 2023",Washed / Wet,7.67,7.83,7.67,7.83,7.75,11,7.67,7.67,84.08,0,2
87,Guatemala,1500-1600,Sierra de las minas,200,30 kg,2022 / 2023,"March 22nd, 2023",Washed / Wet,7.67,7.92,7.67,7.75,7.67,11,7.58,7.75,84,0,2
